year,title,authors,doi,category,priority,status,notes,filename
2007,Method for High Precision Radar Distance Measurement and Synchronization of Wireless Units,S. Roehr; M. Vossiek; P. Gulden,10.1109/MWSYM.2007.380436,TWTT / cooperative FMCW,P0,included_restricted_user_supplied,Core predecessor; <100 ps time synchronization reported.,2007_Roehr_High_Precision_Radar_Distance_Synchronization.pdf
2008,A Versatile FMCW Radar System Simulator for Millimeter-Wave Applications,S. Scheiblhofer; M. Treml; S. Schuster; R. Feger; A. Stelzer,10.1109/EUMC.2008.4751778,MATLAB / simulation,P0,included_restricted_user_supplied,Modular MATLAB simulator from sweep synthesis through baseband.,2008_Scheiblhofer_A_Versatile_FMCW_Radar_System_Simulator.pdf
2015,An Efficient Frequency and Phase Estimation Algorithm With CRB Performance for FMCW Radar Applications,S. Scherr et al.,10.1109/TIM.2014.2381354,frequency/phase estimation,P0,included_restricted_user_supplied,CZT plus phase evaluation; CRB context.,2015_Scherr_Efficient_Frequency_and_Phase_Estimation_CRB.pdf
2016,"Impact of Frequency Ramp Nonlinearity, Phase Noise, and SNR on FMCW Radar Accuracy",S. Ayhan et al.,10.1109/TMTT.2016.2599165,nonidealities,P0,included_restricted_user_supplied,Analytical and measured accuracy effects.,2016_Ayhan_Ramp_Nonlinearity_Phase_Noise_SNR.pdf
2018,Analysis of Ranging Precision in an FMCW Radar Measurement Using a Phase-Locked Loop,F. Herzel; D. Kissinger; H. J. Ng,10.1109/TCSI.2017.2733041,phase noise / PLL,P0,included_restricted_user_supplied,PLL phase noise plus receiver noise precision model.,2018_Herzel_Ranging_Precision_FMCW_PLL.pdf
2019,Coherent Full-Duplex Double-Sided Two-Way Ranging and Velocity Measurement Between Separate Incoherent Radio Units,M. Gottinger; F. Kirsch; P. Gulden; M. Vossiek,10.1109/TMTT.2019.2902553,TWTT / cooperative FMCW,P0,included_restricted_user_supplied,Closest academic analogue: reciprocal FMCW with separate clocks.,2019_Gottinger_CFDDS_TWR.pdf
2020,System Level Synchronization of Phase-Coded FMCW Automotive Radars for RadCom,F. Lampel et al.,10.23919/EuCAP48036.2020.9135417,coded FMCW,P1,included_restricted_user_supplied,Phase-coded FMCW synchronization / RadCom.,2020_Lampel_System_Level_Synchronization_Phase_Coded_FMCW_RadCom.pdf
2021,Coherent Signal Processing for Loosely Coupled Bistatic Radar,M. Gottinger; P. Gulden; M. Vossiek,10.1109/TAES.2021.3050650,distributed coherent radar,P1,included_restricted_user_supplied,Coherent processing despite only loose coupling.,2021_Gottinger_Loosely_Coupled_Bistatic_Radar.pdf
2021,Coherent Automotive Radar Networks: The Next Generation of Radar-Based Imaging and Mapping,M. Gottinger et al.,10.1109/JMW.2020.3034475,radar networks,P1,included_restricted_user_supplied,Distributed radar classification and 76-77 GHz experiments.,2021_Gottinger_Coherent_Automotive_Radar_Networks.pdf
2022,Detailed Analysis and Modeling of Phase Noise and Systematic Phase Distortions in FMCW Radar Systems,P. Tschapek et al.,10.1109/JMW.2022.3195574,phase noise / nonidealities,P0,included_restricted_user_supplied,Colored PN plus systematic phase-error Monte Carlo model.,2022_Tschapek_Detailed_Phase_Noise_Systematic_Distortions.pdf
2007,Method for High Precision Clock Synchronization in Wireless Systems with Application to Radio Navigation,S. Roehr; P. Gulden; M. Vossiek,10.1109/RWS.2007.351890,clock synchronization,P0,citation_only,Foundational clock synchronization; full copy not physically present in this runtime.,
2008,Precise Distance Measurement with Cooperative FMCW Radar Units,A. Stelzer; M. Jahn; S. Scheiblhofer,10.1109/RWS.2008.4463606,cooperative FMCW,P0,citation_only,Core cooperative FMCW ranging paper.,
2008,Precise Distance and Velocity Measurement for Real Time Locating in Multipath Environments Using a Frequency-Modulated Continuous-Wave Secondary Radar Approach,S. Roehr; P. Gulden; M. Vossiek,10.1109/TMTT.2008.2003137,cooperative FMCW,P0,citation_only,Detailed range/velocity/multipath model.,
2008,Performance Analysis of Cooperative FMCW Radar Distance Measurement Systems,S. Scheiblhofer et al.,10.1109/MWSYM.2008.4633118,precision / phase noise,P0,citation_only,"Phase-noise performance comparison; web-accessible metadata, PDF not copied.",
2013,A 77-GHz Cooperative Radar System Based on Multi-Channel FMCW Stations for Local Positioning Applications,R. Feger et al.,10.1109/TMTT.2012.2227781,77 GHz cooperative FMCW,P0,citation_only,Important bridge to 77-GHz hardware.,
2012,Accuracy Limits of a K-Band FMCW Radar with Phase Evaluation,S. Scherr; S. Ayhan; M. Pauli; T. Zwick,,frequency/phase estimation,P0,citation_only,CRLB and phase-evaluation precision precedent.,
2012,The Effect of Phase Noise on Ranging Uncertainty in FMCW Secondary Radar-Based Local Positioning Systems,R. Ebelt; D. Shmakov; M. Vossiek,,phase noise,P0,citation_only,Directly relevant to secondary/cooperative FMCW PN.,
1992,Linear FMCW Radar Techniques,A. G. Stove,10.1049/ip-f-2.1992.0048,FMCW fundamentals,P0,citation_only,Classic reference.,
2023,FMCW Radar Transceiver Synchronization in a Multistatic Microwave Tomography System,B. Lettner,,multistatic synchronization,P0,citation_only,Thesis-length synchronization treatment.,
2020,Phase-Coded FMCW Automotive Radar: System Design and Interference Mitigation,F. Uysal,10.1109/TVT.2019.2953305,coded FMCW,P1,included_acquired_research_copy,Accepted manuscript known at TU Delft; not copied due repository download restriction.,2020_Uysal_Phase_Coded_FMCW_System_Design_Interference_Mitigation.pdf
2024,On the Synchronization of Uncoupled Multistatic PMCW Radars,D. Werbunat et al.,10.1109/TMTT.2024.3359035,coded / multistatic synchronization,P1,citation_only,Digital carrier/timing recovery analog for future coded FMCW.,
2024,Over-the-Air Synchronization for Coherent Digital Automotive Radar Networks,L. Sigg et al.,10.1109/TRS.2024.3449333,radar network synchronization,P1,citation_only,CFO/SFO/timing correction.,
2024,Signal Model for Coherent Processing of Uncoupled and Low Frequency Coupled MIMO Radar Networks,V. Janoudi et al.,10.1109/JMW.2023.3334757,radar network signal model,P1,citation_only,Strong modern nonideal signal model.,
,TI Fundamentals of mmWave Radar Sensors,,,source documentation,reference,included_topical,source_or_downloaded,TI_Fundamentals_of_mmWave_Radar_Sensors.pdf
,TI Getting Started with mmWave Sensors 2025,,,source documentation,reference,included_topical,source_or_downloaded,TI_Getting_Started_with_mmWave_Sensors_2025.pdf
,MathWorks Design of FMCW Radars for Active Safety Applications,,,source documentation,reference,included_topical,source_or_downloaded,MathWorks_Design_of_FMCW_Radars_for_Active_Safety_Applications.pdf
,MathWorks Radar System Design Using MATLAB Simulink 2016,,,source documentation,reference,included_topical,source_or_downloaded,MathWorks_Radar_System_Design_Using_MATLAB_Simulink_2016.pdf
,NIST Fundamentals of Two Way Time Transfers by Satellite,,,source documentation,reference,included_topical,source_or_downloaded,NIST_Fundamentals_of_Two_Way_Time_Transfers_by_Satellite.pdf
,BIPM TWSTFT Calibration Guidelines 2016,,,source documentation,reference,included_topical,source_or_downloaded,BIPM_TWSTFT_Calibration_Guidelines_2016.pdf
,2022 Merlo Mghabghab Nanzer Wireless Picosecond Time Synchronization,,,source documentation,reference,included_topical,source_or_downloaded,2022_Merlo_Mghabghab_Nanzer_Wireless_Picosecond_Time_Synchronization.pdf
,2023 Merlo High Accuracy Wireless Time Frequency Transfer Distributed Beamforming,,,source documentation,reference,included_topical,source_or_downloaded,2023_Merlo_High_Accuracy_Wireless_Time_Frequency_Transfer_Distributed_Beamforming.pdf
